,school,number_of_applicants,accept_rate,act_total_25th-75th_percentile,sat_total_25th,sat_total_75th,act_total_25th,act_total_75th
0,Stanford University,47452,0.043,32-35,14.4,14.4,0.32,0.32
1,Harvard College,42749,0.047,33-35,14.6,14.6,0.33,0.33
2,Princeton University,35370,0.055,32-35,14.4,14.4,0.32,0.32
3,Columbia University,40203,0.055,33-35,14.5,14.5,0.33,0.33
4,Yale University,36844,0.061,33-35,14.6,14.6,0.33,0.33
5,California Institute of Technology,8367,0.064,35-36,15.3,15.3,0.35,0.35
6,Massachusetts Institute of Technology,21706,0.067,34-36,15.0,15.0,0.34,0.34
7,Brown University,38674,0.071,33-35,14.4,14.4,0.33,0.33
8,University of Chicago,32283,0.073,33-35,14.9,14.9,0.33,0.33
9,Pomona College,10401,0.07400000000000001,32-35,13.9,13.9,0.32,0.32
10,University of Pennsylvania,44961,0.077,33-35,14.5,14.5,0.33,0.33
11,Dartmouth College,23650,0.079,32-35,14.4,14.4,0.32,0.32
12,Bowdoin College,9332,0.08800000000000001,31-34,13.3,13.3,0.31,0.31
13,Duke University,35767,0.08900000000000001,33-35,14.5,14.5,0.33,0.33
14,Swarthmore College,11442,0.08900000000000001,31-35,13.8,13.8,0.31,0.31
15,Northwestern University,40585,0.091,33-35,14.4,14.4,0.33,0.33
16,Vanderbilt University,37310,0.091,33-35,14.6,14.6,0.33,0.33
17,Claremont McKenna College,6066,0.10300000000000001,31-34,13.6,13.6,0.31,0.31
18,Johns Hopkins University,29129,0.106,33-35,14.7,14.7,0.33,0.33
19,Cornell University,49114,0.109,32-35,14.0,14.0,0.32,0.32
20,Rice University,20923,0.111,33-35,14.5,14.5,0.33,0.33
21,Amherst College,10569,0.113,31-34,14.1,14.1,0.31,0.31
22,Barnard College,9320,0.11800000000000001,31-34,13.4,13.4,0.31,0.31
23,Bates College,8222,0.121,29-33,12.7,12.7,0.29,0.29
24,University of California—​Los Angeles,111322,0.12300000000000001,27-34,12.9,12.9,0.27,0.27
25,Tulane University,42185,0.129,31-33,13.6,13.6,0.31,0.31
26,University of Southern California,64352,0.13,30-34,13.5,13.5,0.3,0.3
27,Williams College,9560,0.13,32-35,14.1,14.1,0.32,0.32
28,Colby College,12313,0.13,31-33,13.5,13.5,0.31,0.31
29,Pitzer College,4358,0.133,30-33,13.4,13.4,0.3,0.3
30,Colorado College,9456,0.135,29-33,13.0,13.0,0.29,0.29
31,Harvey Mudd College,4045,0.13699999999999998,33-35,14.9,14.9,0.33,0.33
32,Georgetown University,22872,0.145,31-34,13.7,13.7,0.31,0.31
33,University of California—​Berkeley,89621,0.14800000000000002,28-34,13.0,13.0,0.28,0.28
34,Tufts University,22766,0.15,32-34,13.9,13.9,0.32,0.32
35,Washington University in St. Louis,31320,0.15,32-35,14.7,14.7,0.32,0.32
36,Middlebury College,9754,0.154,32-34,13.6,13.6,0.32,0.32
37,Carnegie Mellon University,27634,0.154,33-35,14.6,14.6,0.33,0.33
38,University of Notre Dame,22200,0.158,32-35,14.0,14.0,0.32,0.32
39,The Cooper Union,2447,0.16,31-34,12.83,12.83,0.31,0.31
40,New York University,79462,0.162,30-34,13.7,13.7,0.3,0.3
41,Haverford College,4963,0.163,32-34,13.8,13.8,0.32,0.32
42,Wesleyan University,13264,0.165,31-34,13.2,13.2,0.31,0.31
43,Hamilton College,8279,0.165,32-34,13.7,13.7,0.32,0.32
44,Northeastern University,62263,0.18100000000000002,32-35,13.9,13.9,0.32,0.32
45,Davidson College,5982,0.18100000000000002,30-33,13.1,13.1,0.3,0.3
46,Emory University,27559,0.185,31-34,13.5,13.5,0.31,0.31
47,Carleton College,7382,0.19,31-34,13.6,13.6,0.31,0.31
48,Georgia Institute of Technology,36856,0.20600000000000002,29-34,13.0,13.0,0.29,0.29
49,Washington and Lee University,5855,0.212,31-34,13.48,13.48,0.31,0.31
50,Wellesley College,6395,0.21600000000000003,31-34,13.6,13.6,0.31,0.31
51,Boston University,64481,0.221,30-33,13.3,13.3,0.3,0.3
52,Colgate University,9951,0.226,31-34,13.3,13.3,0.31,0.31
53,University of North Carolina—​Chapel Hill,42466,0.226,27-33,13.0,13.0,0.27,0.27
54,University of Michigan—​Ann Arbor,64972,0.22899999999999998,31-34,13.4,13.4,0.31,0.31
55,Vassar College,8961,0.237,31-34,13.7,13.7,0.31,0.31
56,Rhode Island School of Design,3913,0.239,26-32,11.8,11.8,0.26,0.26
57,University of Virginia,40839,0.239,30-34,13.4,13.4,0.3,0.3
58,Grinnell College,7349,0.244,30-34,13.7,13.7,0.3,0.3
59,Babson College,6362,0.24,28-32,12.7,12.7,0.28,0.28
60,University of California—​Irvine,95568,0.265,--,11.8,11.8,0.0,0.0
61,University of Miami,38919,0.271,29-32,12.8,12.8,0.29,0.29
62,Boston College,35552,0.272,31-34,13.7,13.7,0.31,0.31
63,Villanova University,22909,0.282,31-34,13.2,13.2,0.31,0.31
64,University of Richmond,12356,0.28300000000000003,30-33,12.9,12.9,0.3,0.3
65,California State Polytechnic University—​San Luis Obispo,54072,0.284,26-32,12.5,12.5,0.26,0.26
66,Trinity University,9864,0.28800000000000003,29-32,12.9,12.9,0.29,0.29
67,Case Western Reserve University,26642,0.293,30-34,13.5,13.5,0.3,0.3
