,school,number_of_applicants,accept_rate,sat_norm_25th,sat_norm_75th,act_norm_25th,act_norm_75th
0,Stanford University,47452,0.043,0.8666666666666667,0.975,0.8857142857142857,0.9714285714285714
1,Harvard College,42749,0.047,0.8833333333333333,0.9833333333333333,0.9142857142857143,0.9714285714285714
2,Princeton University,35370,0.055,0.8666666666666667,0.975,0.8857142857142857,0.9714285714285714
3,Columbia University,40203,0.055,0.875,0.9666666666666667,0.9142857142857143,0.9714285714285714
4,Yale University,36844,0.061,0.8833333333333333,0.975,0.9142857142857143,0.9714285714285714
5,California Institute of Technology,8367,0.064,0.9416666666666667,0.9666666666666667,0.9714285714285714,1.0
6,Massachusetts Institute of Technology,21706,0.067,0.9166666666666666,0.975,0.9428571428571428,1.0
7,Brown University,38674,0.071,0.8666666666666667,0.975,0.9142857142857143,0.9714285714285714
8,University of Chicago,32283,0.073,0.9083333333333333,0.975,0.9142857142857143,0.9714285714285714
9,Pomona College,10401,0.07400000000000001,0.825,0.95,0.8857142857142857,0.9714285714285714
10,University of Pennsylvania,44961,0.077,0.875,0.9666666666666667,0.9142857142857143,0.9714285714285714
11,Dartmouth College,23650,0.079,0.8666666666666667,0.9666666666666667,0.8857142857142857,0.9714285714285714
12,Bowdoin College,9332,0.08800000000000001,0.775,0.9333333333333333,0.8571428571428571,0.9428571428571428
13,Duke University,35767,0.08900000000000001,0.875,0.975,0.9142857142857143,0.9714285714285714
14,Swarthmore College,11442,0.08900000000000001,0.8166666666666667,0.95,0.8571428571428571,0.9714285714285714
15,Northwestern University,40585,0.091,0.8666666666666667,0.9583333333333334,0.9142857142857143,0.9714285714285714
16,Vanderbilt University,37310,0.091,0.8833333333333333,0.9666666666666667,0.9142857142857143,0.9714285714285714
17,Claremont McKenna College,6066,0.10300000000000001,0.8,0.925,0.8571428571428571,0.9428571428571428
18,Johns Hopkins University,29129,0.106,0.8916666666666667,0.9666666666666667,0.9142857142857143,0.9714285714285714
19,Cornell University,49114,0.109,0.8333333333333334,0.9666666666666667,0.8857142857142857,0.9714285714285714
20,Rice University,20923,0.111,0.875,0.9666666666666667,0.9142857142857143,0.9714285714285714
21,Amherst College,10569,0.113,0.8416666666666667,0.9583333333333334,0.8571428571428571,0.9428571428571428
22,Barnard College,9320,0.11800000000000001,0.7833333333333333,0.9333333333333333,0.8571428571428571,0.9428571428571428
23,Bates College,8222,0.121,0.725,0.9,0.8,0.9142857142857143
24,University of California—​Los Angeles,111322,0.12300000000000001,0.7416666666666667,0.925,0.7428571428571429,0.9428571428571428
25,Tulane University,42185,0.129,0.8,0.9333333333333333,0.8571428571428571,0.9142857142857143
26,University of Southern California,64352,0.13,0.7916666666666666,0.9416666666666667,0.8285714285714286,0.9428571428571428
27,Williams College,9560,0.13,0.8416666666666667,0.9583333333333334,0.8857142857142857,0.9714285714285714
28,Colby College,12313,0.13,0.7916666666666666,0.925,0.8571428571428571,0.9142857142857143
29,Pitzer College,4358,0.133,0.7833333333333333,0.9083333333333333,0.8285714285714286,0.9142857142857143
30,Colorado College,9456,0.135,0.75,0.9,0.8,0.9142857142857143
