,state,participation,total,year,total_norm
0,Alabama,0.05,1165,2017,0.6375
1,Alaska,0.38,1080,2017,0.5666666666666667
2,Arizona,0.3,1116,2017,0.5966666666666667
3,Arkansas,0.03,1208,2017,0.6733333333333333
4,California,0.53,1055,2017,0.5458333333333333
5,Colorado,0.11,1201,2017,0.6675
6,Connecticut,1.0,1041,2017,0.5341666666666667
7,Delaware,1.0,996,2017,0.49666666666666665
8,District of Columbia,1.0,950,2017,0.4583333333333333
9,Florida,0.83,1017,2017,0.5141666666666667
10,Georgia,0.61,1050,2017,0.5416666666666666
11,Hawaii,0.55,1085,2017,0.5708333333333333
12,Idaho,0.93,1005,2017,0.5041666666666667
13,Illinois,0.09,1115,2017,0.5958333333333333
14,Indiana,0.63,1074,2017,0.5616666666666666
15,Iowa,0.02,1275,2017,0.7291666666666666
16,Kansas,0.04,1260,2017,0.7166666666666667
17,Kentucky,0.04,1247,2017,0.7058333333333333
18,Louisiana,0.04,1198,2017,0.665
19,Maine,0.95,1012,2017,0.51
20,Maryland,0.69,1060,2017,0.55
21,Massachusetts,0.76,1107,2017,0.5891666666666666
22,Michigan,1.0,1005,2017,0.5041666666666667
23,Minnesota,0.03,1295,2017,0.7458333333333333
24,Mississippi,0.02,1242,2017,0.7016666666666667
25,Missouri,0.03,1271,2017,0.7258333333333333
26,Montana,0.1,1196,2017,0.6633333333333333
27,Nebraska,0.03,1253,2017,0.7108333333333333
28,Nevada,0.26,1116,2017,0.5966666666666667
29,New Hampshire,0.96,1052,2017,0.5433333333333333
30,New Jersey,0.7,1056,2017,0.5466666666666666
31,New Mexico,0.11,1138,2017,0.615
32,New York,0.67,1052,2017,0.5433333333333333
33,North Carolina,0.49,1081,2017,0.5675
34,North Dakota,0.02,1256,2017,0.7133333333333334
35,Ohio,0.12,1149,2017,0.6241666666666666
36,Oklahoma,0.07,1047,2017,0.5391666666666667
37,Oregon,0.43,1108,2017,0.59
38,Pennsylvania,0.65,1071,2017,0.5591666666666667
39,Rhode Island,0.71,1062,2017,0.5516666666666666
40,South Carolina,0.5,1064,2017,0.5533333333333333
41,South Dakota,0.03,1216,2017,0.68
42,Tennessee,0.05,1228,2017,0.69
43,Texas,0.62,1020,2017,0.5166666666666667
44,Utah,0.03,1238,2017,0.6983333333333334
45,Vermont,0.6,1114,2017,0.595
46,Virginia,0.65,1102,2017,0.585
47,Washington,0.64,1075,2017,0.5625
48,West Virginia,0.14,1086,2017,0.5716666666666667
49,Wisconsin,0.03,1291,2017,0.7425
50,Wyoming,0.03,1230,2017,0.6916666666666667
0,Alabama,0.06,1166,2018,0.6383333333333333
1,Alaska,0.43,1106,2018,0.5883333333333334
2,Arizona,0.29,1149,2018,0.6241666666666666
3,Arkansas,0.05,1169,2018,0.6408333333333334
4,California,0.6,1076,2018,0.5633333333333334
5,Colorado,1.0,1025,2018,0.5208333333333334
6,Connecticut,1.0,1053,2018,0.5441666666666667
7,Delaware,1.0,998,2018,0.49833333333333335
8,District of Columbia,0.92,977,2018,0.48083333333333333
9,Florida,0.56,1099,2018,0.5825
10,Georgia,0.7,1064,2018,0.5533333333333333
11,Hawaii,0.56,1010,2018,0.5083333333333333
12,Idaho,1.0,1001,2018,0.5008333333333334
13,Illinois,0.99,1019,2018,0.5158333333333334
14,Indiana,0.63,1074,2018,0.5616666666666666
15,Iowa,0.03,1265,2018,0.7208333333333333
16,Kansas,0.04,1265,2018,0.7208333333333333
17,Kentucky,0.04,1248,2018,0.7066666666666667
18,Louisiana,0.04,1210,2018,0.675
19,Maine,0.99,1013,2018,0.5108333333333334
20,Maryland,0.76,1080,2018,0.5666666666666667
21,Massachusetts,0.8,1125,2018,0.6041666666666666
22,Michigan,1.0,1011,2018,0.5091666666666667
23,Minnesota,0.04,1298,2018,0.7483333333333333
24,Mississippi,0.03,1236,2018,0.6966666666666667
25,Missouri,0.04,1262,2018,0.7183333333333334
26,Montana,0.1,1198,2018,0.665
27,Nebraska,0.03,1252,2018,0.71
28,Nevada,0.23,1140,2018,0.6166666666666667
29,New Hampshire,0.96,1063,2018,0.5525
30,New Jersey,0.82,1094,2018,0.5783333333333334
31,New Mexico,0.16,1093,2018,0.5775
32,New York,0.79,1068,2018,0.5566666666666666
33,North Carolina,0.52,1098,2018,0.5816666666666667
34,North Dakota,0.02,1283,2018,0.7358333333333333
35,Oklahoma,0.08,1062,2018,0.5516666666666666
36,Ohio,0.18,1099,2018,0.5825
37,Oregon,0.48,1117,2018,0.5975
38,Pennsylvania,0.7,1086,2018,0.5716666666666667
39,Rhode Island,0.97,1018,2018,0.515
40,South Carolina,0.55,1070,2018,0.5583333333333333
41,South Dakota,0.03,1240,2018,0.7
42,Tennessee,0.06,1231,2018,0.6925
43,Texas,0.66,1032,2018,0.5266666666666666
44,Utah,0.04,1010,2018,0.5083333333333333
45,Vermont,0.64,1120,2018,0.6
46,Virginia,0.68,1117,2018,0.5975
47,Washington,0.69,1081,2018,0.5675
48,West Virginia,0.28,999,2018,0.49916666666666665
49,Wisconsin,0.03,1294,2018,0.745
50,Wyoming,0.03,1257,2018,0.7141666666666666
0,Alabama,0.07,1143,2019,0.6191666666666666
1,Alaska,0.41,1097,2019,0.5808333333333333
2,Arizona,0.31,1134,2019,0.6116666666666667
3,Arkansas,0.06,1141,2019,0.6175
4,California,0.63,1065,2019,0.5541666666666667
5,Colorado,1.0,1024,2019,0.52
6,Connecticut,1.0,1046,2019,0.5383333333333333
7,Delaware,1.0,985,2019,0.4875
8,District of Columbia,0.94,975,2019,0.4791666666666667
9,Florida,1.0,999,2019,0.49916666666666665
10,Georgia,0.71,1058,2019,0.5483333333333333
11,Hawaii,0.54,1100,2019,0.5833333333333334
12,Idaho,1.0,993,2019,0.49416666666666664
13,Illinois,1.0,1013,2019,0.5108333333333334
14,Indiana,0.66,1080,2019,0.5666666666666667
15,Iowa,0.03,1244,2019,0.7033333333333334
16,Kansas,0.04,1241,2019,0.7008333333333333
17,Kentucky,0.04,1232,2019,0.6933333333333334
18,Louisiana,0.05,1200,2019,0.6666666666666666
19,Maine,0.99,1013,2019,0.5108333333333334
20,Maryland,0.82,1058,2019,0.5483333333333333
21,Massachusetts,0.81,1120,2019,0.6
22,Michigan,1.0,1003,2019,0.5025
23,Minnesota,0.04,1284,2019,0.7366666666666667
24,Mississippi,0.03,1237,2019,0.6975
25,Missouri,0.04,1236,2019,0.6966666666666667
26,Montana,0.09,1199,2019,0.6658333333333334
27,Nebraska,0.03,1260,2019,0.7166666666666667
28,Nevada,0.2,1156,2019,0.63
29,New Hampshire,0.95,1059,2019,0.5491666666666667
30,New Jersey,0.82,1090,2019,0.575
31,New Mexico,0.18,1073,2019,0.5608333333333333
32,New York,0.79,1064,2019,0.5533333333333333
33,North Carolina,0.51,1100,2019,0.5833333333333334
34,North Dakota,0.02,1263,2019,0.7191666666666666
35,Ohio,0.19,1097,2019,0.5808333333333333
36,Oklahoma,0.22,963,2019,0.4691666666666667
37,Oregon,0.51,1112,2019,0.5933333333333334
38,Pennsylvania,0.7,1082,2019,0.5683333333333334
39,Puerto Rico,0.44869281045751647,944,2019,0.4533333333333333
